feature,importance,model
spectralFlux_sma3_amean,0.16,ADA
slopeV0-500_sma3nz_amean,0.12,ADA
HNRdBACF_sma3nz_amean,0.08,ADA
slopeV500-1500_sma3nz_amean,0.08,ADA
mfcc1_sma3_amean,0.08,ADA
logRelF0-H1-H2_sma3nz_amean,0.06,ADA
logRelF0-H1-A3_sma3nz_amean,0.06,ADA
F1amplitudeLogRelF0_sma3nz_amean,0.06,ADA
hammarbergIndexV_sma3nz_amean,0.06,ADA
mfcc4_sma3_amean,0.04,ADA
F1frequency_sma3nz_amean,0.04,ADA
F3frequency_sma3nz_amean,0.02,ADA
F3amplitudeLogRelF0_sma3nz_amean,0.02,ADA
jitterLocal_sma3nz_amean,0.02,ADA
F2bandwidth_sma3nz_amean,0.02,ADA
loudness_sma3_amean,0.02,ADA
F2amplitudeLogRelF0_sma3nz_amean,0.02,ADA
mfcc2_sma3_amean,0.02,ADA
shimmerLocaldB_sma3nz_amean,0.02,ADA
F3bandwidth_sma3nz_amean,0.0,ADA
alphaRatioV_sma3nz_amean,0.0,ADA
F2frequency_sma3nz_amean,0.0,ADA
mfcc3_sma3_amean,0.0,ADA
F1bandwidth_sma3nz_amean,0.0,ADA
F0semitoneFrom27.5Hz_sma3nz_amean,0.0,ADA
