feature,importance,model
mfcc4_sma3_amean,0.2994803294361542,DT
slopeV500-1500_sma3nz_amean,0.12239527281669219,DT
F2amplitudeLogRelF0_sma3nz_amean,0.11217115080331014,DT
slopeV0-500_sma3nz_amean,0.09727125521620031,DT
hammarbergIndexV_sma3nz_amean,0.08267923414185033,DT
F1frequency_sma3nz_amean,0.0730780061954379,DT
logRelF0-H1-H2_sma3nz_amean,0.054423167765274956,DT
HNRdBACF_sma3nz_amean,0.04126757996918837,DT
spectralFlux_sma3_amean,0.04035898978520783,DT
shimmerLocaldB_sma3nz_amean,0.029231202478175167,DT
alphaRatioV_sma3nz_amean,0.022852294236959395,DT
F2bandwidth_sma3nz_amean,0.019487468318783435,DT
F3bandwidth_sma3nz_amean,0.00530404883676564,DT
F3frequency_sma3nz_amean,0.0,DT
F1amplitudeLogRelF0_sma3nz_amean,0.0,DT
jitterLocal_sma3nz_amean,0.0,DT
logRelF0-H1-A3_sma3nz_amean,0.0,DT
F3amplitudeLogRelF0_sma3nz_amean,0.0,DT
loudness_sma3_amean,0.0,DT
mfcc1_sma3_amean,0.0,DT
mfcc2_sma3_amean,0.0,DT
mfcc3_sma3_amean,0.0,DT
F2frequency_sma3nz_amean,0.0,DT
F1bandwidth_sma3nz_amean,0.0,DT
F0semitoneFrom27.5Hz_sma3nz_amean,0.0,DT
