feature,importance,model
mfcc4_sma3_amean,1.3603537811943738,LR
HNRdBACF_sma3nz_amean,1.1446541349415122,LR
F0semitoneFrom27.5Hz_sma3nz_amean,0.8823612534776278,LR
jitterLocal_sma3nz_amean,0.7401039426291366,LR
alphaRatioV_sma3nz_amean,0.5641035401535568,LR
F1bandwidth_sma3nz_amean,0.5404653392672215,LR
mfcc1_sma3_amean,0.5169183721433663,LR
F2frequency_sma3nz_amean,0.30799009161604907,LR
spectralFlux_sma3_amean,0.280124253265364,LR
F3amplitudeLogRelF0_sma3nz_amean,0.2336375240846094,LR
F2amplitudeLogRelF0_sma3nz_amean,0.2234101148022127,LR
F1amplitudeLogRelF0_sma3nz_amean,0.1405941499732917,LR
F1frequency_sma3nz_amean,-0.00417990356458121,LR
mfcc2_sma3_amean,-0.17933557560020225,LR
F3frequency_sma3nz_amean,-0.18499171224029612,LR
loudness_sma3_amean,-0.2559743703523815,LR
mfcc3_sma3_amean,-0.33492590081647233,LR
hammarbergIndexV_sma3nz_amean,-0.41893192036628485,LR
F3bandwidth_sma3nz_amean,-0.48714895502444977,LR
logRelF0-H1-H2_sma3nz_amean,-0.5514786260470348,LR
slopeV500-1500_sma3nz_amean,-0.5712295746356779,LR
F2bandwidth_sma3nz_amean,-0.6219189931292938,LR
logRelF0-H1-A3_sma3nz_amean,-0.6710843138800976,LR
shimmerLocaldB_sma3nz_amean,-0.9558139674750381,LR
slopeV0-500_sma3nz_amean,-1.6759872086128262,LR
