feature,importance,model
F1amplitudeLogRelF0_sma3nz_amean,0.14461824203592655,RF
mfcc4_sma3_amean,0.10886203541830515,RF
logRelF0-H1-H2_sma3nz_amean,0.07588698658601761,RF
alphaRatioV_sma3nz_amean,0.06629249708950924,RF
mfcc1_sma3_amean,0.05622054814863778,RF
slopeV0-500_sma3nz_amean,0.05475486732529808,RF
slopeV500-1500_sma3nz_amean,0.051905288432603704,RF
F3amplitudeLogRelF0_sma3nz_amean,0.05181920507063651,RF
spectralFlux_sma3_amean,0.0513441257009067,RF
logRelF0-H1-A3_sma3nz_amean,0.04009653721168285,RF
mfcc2_sma3_amean,0.037152964065517456,RF
F0semitoneFrom27.5Hz_sma3nz_amean,0.03371172928310516,RF
F3bandwidth_sma3nz_amean,0.028726590614930877,RF
F2bandwidth_sma3nz_amean,0.028697374772964915,RF
shimmerLocaldB_sma3nz_amean,0.027055146630979836,RF
hammarbergIndexV_sma3nz_amean,0.02511792457216956,RF
HNRdBACF_sma3nz_amean,0.022793827680922397,RF
F2amplitudeLogRelF0_sma3nz_amean,0.017194603801933703,RF
F1frequency_sma3nz_amean,0.016060361566880756,RF
jitterLocal_sma3nz_amean,0.01601441215191634,RF
F3frequency_sma3nz_amean,0.012469656571303271,RF
loudness_sma3_amean,0.012096512606358514,RF
mfcc3_sma3_amean,0.012047475815759746,RF
F1bandwidth_sma3nz_amean,0.00570204416542952,RF
F2frequency_sma3nz_amean,0.0033590426803039733,RF
