,data,precision,recall,f1-score,support,specificity
0,-,-,-,-,-,-
1,0,0.40216507177033495,0.38885154061624644,0.3951651424141498,19.2,0.38885154061624655
2,1,0.6175101242843178,0.6222270114942529,0.6196259925541048,31.0,0.38885154061624655
3,accuracy,0.5333224356848534,0.5333224356848534,0.5333224356848534,0.5333224356848534,0.38885154061624655
4,macro avg,0.5098375980273264,0.5055392760552497,0.5073955674841273,50.2,0.38885154061624655
5,weighted avg,0.5355562548580102,0.5333224356848534,0.5341582641115172,50.2,0.38885154061624655
6,-,-,-,-,-,-
7,0,0.4738095238095238,0.55,0.4997425474254743,19.2,0.55
8,1,0.7343302221069916,0.6779741379310344,0.6979084143115002,31.0,0.55
9,accuracy,0.6297603815206314,0.6297603815206314,0.6297603815206314,0.6297603815206314,0.55
10,macro avg,0.6040698729582578,0.6139870689655172,0.5988254808684872,50.2,0.55
11,weighted avg,0.6368057200393875,0.6297603815206314,0.6235170022863956,50.2,0.55
12,-,-,-,-,-,-
13,0,0.552748599439776,0.5963305322128851,0.5623481781376518,19.2,0.5963305322128851
14,1,0.7780818713450293,0.7555172413793103,0.7556058320764203,31.0,0.5963305322128851
15,accuracy,0.6959307688279813,0.6959307688279813,0.6959307688279813,0.6959307688279813,0.5963305322128851
16,macro avg,0.6654152353924025,0.6759238867960977,0.658977005107036,50.2,0.5963305322128851
17,weighted avg,0.6944112135663649,0.6959307688279813,0.6835462710841075,50.2,0.5963305322128851
18,-,-,-,-,-,-
19,0,0.37937188259768906,0.3588795518207283,0.34479638009049773,19.2,0.3588795518207283
20,1,0.6295000698226504,0.6342816091954023,0.6195700225923092,31.0,0.3588795518207283
21,accuracy,0.5280069789704475,0.5280069789704475,0.5280069789704475,0.5280069789704475,0.3588795518207283
22,macro avg,0.5044359762101698,0.49658058050806525,0.48218320134140347,50.2,0.3588795518207283
23,weighted avg,0.5355859742770364,0.5280069789704475,0.5147302000128905,50.2,0.3588795518207283
