feature,importance,model
"(13, 1)",0.16,ADA
"(10, 0)",0.12,ADA
"(6, 1)",0.12,ADA
"(14, 1)",0.1,ADA
"(3, 1)",0.08,ADA
"(9, 0)",0.08,ADA
"(6, 0)",0.06,ADA
"(0, 0)",0.06,ADA
"(3, 0)",0.04,ADA
"(7, 0)",0.04,ADA
"(4, 0)",0.02,ADA
"(8, 0)",0.02,ADA
"(14, 0)",0.02,ADA
"(12, 0)",0.02,ADA
"(11, 1)",0.02,ADA
"(9, 1)",0.02,ADA
"(0, 1)",0.02,ADA
"(8, 1)",0.0,ADA
"(2, 0)",0.0,ADA
"(4, 1)",0.0,ADA
"(1, 1)",0.0,ADA
"(10, 1)",0.0,ADA
"(11, 0)",0.0,ADA
"(2, 1)",0.0,ADA
"(5, 1)",0.0,ADA
"(12, 1)",0.0,ADA
"(13, 0)",0.0,ADA
"(1, 0)",0.0,ADA
"(5, 0)",0.0,ADA
"(7, 1)",0.0,ADA
