feature,importance,model
"(3, 0)",0.21372158693261806,DT
"(7, 0)",0.21312217101331804,DT
"(10, 1)",0.13244920174165462,DT
"(0, 1)",0.1207426234572776,DT
"(11, 0)",0.06979142919723036,DT
"(4, 0)",0.05480850464657844,DT
"(5, 1)",0.0456737538721487,DT
"(10, 0)",0.039110266278669543,DT
"(11, 1)",0.037944349370708154,DT
"(5, 0)",0.029231202478175167,DT
"(12, 0)",0.02739734774976353,DT
"(13, 1)",0.016007563261857843,DT
"(0, 0)",0.0,DT
"(9, 0)",0.0,DT
"(12, 1)",0.0,DT
"(13, 0)",0.0,DT
"(14, 0)",0.0,DT
"(9, 1)",0.0,DT
"(7, 1)",0.0,DT
"(8, 1)",0.0,DT
"(8, 0)",0.0,DT
"(6, 1)",0.0,DT
"(6, 0)",0.0,DT
"(4, 1)",0.0,DT
"(3, 1)",0.0,DT
"(2, 1)",0.0,DT
"(2, 0)",0.0,DT
"(1, 1)",0.0,DT
"(1, 0)",0.0,DT
"(14, 1)",0.0,DT
