feature,importance,model
"(5, 1)",1.2343016364267776,LR
"(5, 0)",1.2011350856309633,LR
"(13, 1)",1.1890299817726206,LR
"(7, 0)",1.07449180356415,LR
"(11, 0)",0.8957164077458956,LR
"(0, 0)",0.8675005096362789,LR
"(8, 0)",0.8035348853913094,LR
"(9, 0)",0.5486608329245014,LR
"(10, 1)",0.5264461921409902,LR
"(8, 1)",0.3660728967031916,LR
"(3, 0)",0.32628117421560476,LR
"(7, 1)",0.22744200742041315,LR
"(3, 1)",0.18527570706630422,LR
"(6, 1)",0.18098599395278644,LR
"(12, 0)",0.057795702357466214,LR
"(11, 1)",0.019143590222230285,LR
"(1, 0)",0.0,LR
"(1, 1)",0.0,LR
"(4, 1)",-0.09677305065170763,LR
"(12, 1)",-0.16975830474010772,LR
"(6, 0)",-0.20796150797699173,LR
"(9, 1)",-0.3249242455697491,LR
"(2, 1)",-0.39476567752131064,LR
"(4, 0)",-0.5411007281925482,LR
"(14, 1)",-0.5750853314287693,LR
"(2, 0)",-0.5992368521112731,LR
"(0, 1)",-0.6476422123252444,LR
"(10, 0)",-0.7428573031304215,LR
"(14, 0)",-0.7689667697339871,LR
"(13, 0)",-1.3957164577561776,LR
