feature,importance,model
"(7, 0)",0.10343403631081304,RF
"(4, 0)",0.09546706581496356,RF
"(6, 1)",0.08825735891828641,RF
"(10, 0)",0.0866144847485355,RF
"(13, 1)",0.06055466696465183,RF
"(8, 1)",0.05878701877516985,RF
"(0, 0)",0.04968127773387281,RF
"(14, 0)",0.04360025355750937,RF
"(5, 0)",0.03867878886008541,RF
"(3, 0)",0.03673915072364331,RF
"(11, 1)",0.03576527478197271,RF
"(9, 0)",0.030949863506075537,RF
"(0, 1)",0.03017664938350936,RF
"(7, 1)",0.026326540771053137,RF
"(2, 0)",0.024919035213232254,RF
"(2, 1)",0.024832625915153606,RF
"(12, 1)",0.021621028331218088,RF
"(8, 0)",0.020831574573071172,RF
"(13, 0)",0.020674698565099243,RF
"(12, 0)",0.020497452471222026,RF
"(4, 1)",0.018579092655985206,RF
"(11, 0)",0.017455030845444214,RF
"(6, 0)",0.014596456284405493,RF
"(5, 1)",0.014126799991672306,RF
"(10, 1)",0.009573188501870309,RF
"(9, 1)",0.007260585801484261,RF
"(3, 1)",0.0,RF
"(1, 1)",0.0,RF
"(1, 0)",0.0,RF
"(14, 1)",0.0,RF
