,data,precision,recall,f1-score,support,specificity
0,-,-,-,-,-,-
1,0,0.34818181818181815,0.5127777777777778,0.4074967984223882,9.0,0.5127777777777778
2,1,0.6208391608391609,0.4385714285714286,0.49731216931216926,14.8,0.5127777777777778
3,accuracy,0.4640803689064558,0.4640803689064558,0.4640803689064558,0.4640803689064558,0.5127777777777778
4,macro avg,0.48451048951048953,0.47567460317460314,0.45240448386727883,23.8,0.5127777777777778
5,weighted avg,0.5197437224172402,0.4640803689064558,0.46289951892487463,23.8,0.5127777777777778
6,-,-,-,-,-,-
7,0,0.31234905445431754,0.4027777777777778,0.3375814536340852,9.0,0.4027777777777778
8,1,0.6129554655870445,0.5186904761904761,0.5390797768079716,14.8,0.4027777777777778
9,accuracy,0.4714137022397892,0.4714137022397892,0.4714137022397892,0.4714137022397892,0.4027777777777778
10,macro avg,0.462652260020681,0.460734126984127,0.43833061522102834,23.8,0.4027777777777778
11,weighted avg,0.5004801559996068,0.4714137022397892,0.4616342967043128,23.8,0.4027777777777778
12,-,-,-,-,-,-
13,0,0.3386147186147186,0.325,0.30555844155844153,9.0,0.325
14,1,0.5352548036758563,0.5277380952380952,0.5202297247098376,14.8,0.325
15,accuracy,0.45556653491436094,0.45556653491436094,0.45556653491436094,0.45556653491436094,0.325
16,macro avg,0.43693476114528745,0.4263690476190476,0.41289408313413956,23.8,0.325
17,weighted avg,0.4629057954504178,0.45556653491436094,0.44251141753243106,23.8,0.325
18,-,-,-,-,-,-
19,0,0.4066300366300366,0.39388888888888884,0.3800414078674948,9.0,0.3938888888888889
20,1,0.5688888888888888,0.5435714285714285,0.5439486117746988,14.8,0.3938888888888889
21,accuracy,0.4825059288537549,0.4825059288537549,0.4825059288537549,0.4825059288537549,0.3938888888888889
22,macro avg,0.4877594627594627,0.46873015873015866,0.46199500982109676,23.8,0.3938888888888889
23,weighted avg,0.5106212241864416,0.4825059288537549,0.4810923762228111,23.8,0.3938888888888889
