,data,precision,recall,f1-score,support,specificity
0,-,-,-,-,-,-
1,0,0.5186868686868686,0.4931932773109243,0.5037954565861542,19.2,0.4931932773109243
2,1,0.696171609596248,0.7171408045977011,0.7056837708062836,31.0,0.4931932773109243
3,accuracy,0.6313364902948273,0.6313364902948273,0.6313364902948273,0.6313364902948273,0.4931932773109243
4,macro avg,0.6074292391415584,0.6051670409543128,0.604739613696219,50.2,0.4931932773109243
5,weighted avg,0.6285817839702046,0.6313364902948273,0.6285301017130285,50.2,0.4931932773109243
6,-,-,-,-,-,-
7,0,0.42812409812409813,0.2553501400560224,0.316593837535014,19.2,0.2553501400560224
8,1,0.6339586729060414,0.7929741379310344,0.7039988558352402,31.0,0.2553501400560224
9,accuracy,0.5884132710533841,0.5884132710533841,0.5884132710533841,0.5884132710533841,0.2553501400560224
10,macro avg,0.5310413855150697,0.5241621389935285,0.5102963466851271,50.2,0.2553501400560224
11,weighted avg,0.5565991061069544,0.5884132710533841,0.5569720383574334,50.2,0.2553501400560224
12,-,-,-,-,-,-
13,0,1.0,0.0,0.0,19.2,0.0
14,1,0.6183328880290115,1.0,0.7640682454800102,31.0,0.0
15,accuracy,0.6183328880290115,0.6183328880290115,0.6183328880290115,0.6183328880290115,0.0
16,macro avg,0.8091664440145058,0.5,0.3820341227400051,50.2,0.0
17,weighted avg,0.7641982114647733,0.6183328880290115,0.47259753057801274,50.2,0.0
18,-,-,-,-,-,-
19,0,0.4447058823529412,0.39980392156862743,0.42009371140950086,19.2,0.39980392156862743
20,1,0.6537896825396825,0.6966810344827585,0.674078821909627,31.0,0.39980392156862743
21,accuracy,0.5829979900887341,0.5829979900887341,0.5829979900887341,0.5829979900887341,0.39980392156862743
22,macro avg,0.5492477824463119,0.548242478025693,0.5470862666595638,50.2,0.39980392156862743
23,weighted avg,0.5742201170941953,0.5829979900887341,0.5770649506533696,50.2,0.39980392156862743
