,data,precision,recall,f1-score,support,specificity
0,-,-,-,-,-,-
1,0,0.4046685340802988,0.5342377622377622,0.3472719748005426,19.2,0.3342377622377622
2,1,0.6126439482961221,0.5643285699807439,0.5415138723005304,31.0,0.3342377622377622
3,accuracy,0.47976622060106633,0.47976622060106633,0.47976622060106633,0.47976622060106633,0.3342377622377622
4,macro avg,0.5086562411882105,0.5492831661092531,0.4443929235505365,50.2,0.3342377622377622
5,weighted avg,0.6473235506202305,0.47976622060106633,0.5179138347381885,50.2,0.3342377622377622
6,-,-,-,-,-,-
7,0,0.5246031746031746,0.41514085914085913,0.2967268691353042,19.2,0.21514085914085915
8,1,0.6361017881953843,0.7873639404074187,0.6534621790079955,31.0,0.21514085914085915
9,accuracy,0.5513025977635777,0.5513025977635777,0.5513025977635777,0.5513025977635777,0.21514085914085915
10,macro avg,0.5803524813992794,0.6012523997741389,0.4750945240716498,50.2,0.21514085914085915
11,weighted avg,0.7066112883652422,0.5513025977635777,0.5570976604829301,50.2,0.21514085914085915
12,-,-,-,-,-,-
13,0,0.4855616605616605,0.4926373626373627,0.3532210243732531,19.2,0.2926373626373627
14,1,0.641749723145072,0.7287341643863383,0.6407426500374238,31.0,0.2926373626373627
15,accuracy,0.5595832757357259,0.5595832757357259,0.5595832757357259,0.5595832757357259,0.2926373626373627
16,macro avg,0.5636556918533663,0.6106857635118506,0.49698183720533845,50.2,0.2926373626373627
17,weighted avg,0.7013324353757182,0.5595832757357259,0.5847703441934748,50.2,0.2926373626373627
18,-,-,-,-,-,-
19,0,0.52,0.5542017982017982,0.3811070411070411,19.2,0.3542017982017982
20,1,0.6719136655306868,0.7189196310935441,0.6304636591478696,31.0,0.3542017982017982
21,accuracy,0.5491222124615953,0.5491222124615953,0.5491222124615953,0.5491222124615953,0.3542017982017982
22,macro avg,0.5959568327653434,0.6365607146476712,0.5057853501274554,50.2,0.3542017982017982
23,weighted avg,0.745537188691222,0.5491222124615953,0.5748299152987598,50.2,0.3542017982017982
